"club","season","points","ppg","rank","wage_gbp_annual","ln_wage","efficiency","efficiency_prev"
"Liverpool","2024-2025",84,2.21,1,128804000,18.6738024270529,22.2982653015986,17.767457169055
"Liverpool","2025-2026",60,1.58,5,178380800,18.999431149,-5.38644532675009,22.2982653015986
"Manchester City","2020-2021",86,2.26,1,137678000,18.7404281833239,18.4170591752928,11.6600867130654
"Manchester City","2021-2022",93,2.45,1,151552000,18.8364393583457,23.5198452567955,18.4170591752928
"Manchester City","2022-2023",89,2.34,1,194740000,19.0871758935149,16.5857264206924,23.5198452567955
"Manchester City","2023-2024",91,2.39,1,201032000,19.1189746573318,18.2865483151865,16.5857264206924
"Manchester City","2024-2025",71,1.87,3,201864000,19.1231047612925,-0.496184525253235,18.2865483151865
"Manchester City","2025-2026",78,2.05,2,223875600,19.2266010984086,7.66142221790373,-0.496184525253235
"Manchester Utd","2020-2021",74,1.95,2,193410000,19.0803228459549,-0.992386460435,-5.62293474571863
"Manchester Utd","2021-2022",58,1.53,6,238850000,19.2913462978002,-21.3967807093591,-0.992386460435
"Manchester Utd","2022-2023",75,1.97,3,228514000,19.2471080355683,-0.90067287365762,-21.3967807093591
"Manchester Utd","2023-2024",60,1.58,8,205756000,19.1422015587002,-13.2197805034032,-0.90067287365762
"Manchester Utd","2024-2025",42,1.11,15,180848000,19.0131674574126,-27.0996347526528,-13.2197805034032
"Manchester Utd","2025-2026",71,1.87,3,162331000,18.9051480185588,7.66885534776667,-27.0996347526528
"Newcastle","2020-2021",45,1.18,12,57546000,17.8680951859381,-3.56674365835514,-8.01888224742527
"Newcastle","2021-2022",49,1.29,11,68570000,18.0433656792605,-3.19175055108623,-3.56674365835514
"Newcastle","2022-2023",71,1.87,4,82836000,18.2323733074736,17.2197739268418,-3.19175055108623
"Newcastle","2023-2024",60,1.58,7,84500000,18.2522620923274,6.1802243220224,17.2197739268418
"Newcastle","2024-2025",66,1.74,5,103272000,18.4528768421687,9.11427535033052,6.1802243220224
"Newcastle","2025-2026",49,1.29,12,116584000,18.5741226011957,-7.11504183081529,9.11427535033052
"Norwich City","2021-2022",22,0.58,20,31320000,17.2597674290869,-13.1099035165633,-10.4418995833507
"Nottingham","2023-2024",32,0.84,17,72050000,18.0928708804098,-18.3451682499745,-6.22146900033841
"Nottingham","2024-2025",65,1.71,7,63492000,17.9664244716743,18.7185677674269,-18.3451682499745
"Nottingham","2025-2026",44,1.16,16,92677000,18.3446308875613,-7.11229667776782,18.7185677674269
"Sheffield United","2020-2021",23,0.61,20,20087200,16.8155933542555,-2.62300266815627,24.2988093328329
"Sheffield United","2023-2024",16,0.42,20,28756000,17.1743569990859,-14.3222628690812,-2.62300266815627
"Southampton","2020-2021",43,1.13,15,57184000,17.8617846969413,-5.42917978843413,4.97052312819003
"Southampton","2021-2022",40,1.05,15,52580000,17.777846377266,-6.40363131986185,-5.42917978843413
"Southampton","2022-2023",25,0.66,20,49556000,17.7186139012178,-17.580661004879,-6.40363131986185
"Southampton","2024-2025",12,0.32,20,56030000,17.8413978195415,-31.5559461221872,-17.580661004879
"Tottenham","2020-2021",62,1.63,7,134476000,18.7168963024224,-5.0699636837989,-3.2411118453572
"Tottenham","2021-2022",71,1.87,4,110190000,18.517716706464,8.46775712958847,-5.0699636837989
"Tottenham","2022-2023",60,1.58,8,109330000,18.5098813894107,0.170308393397753,8.46775712958847
"Tottenham","2023-2024",66,1.74,5,117520000,18.5821190898299,4.98959216663435,0.170308393397753
"Tottenham","2024-2025",38,1,17,104286000,18.4626476827737,-19.0987215579399,4.98959216663435
"Tottenham","2025-2026",41,1.08,17,132912000,18.705197813061,-17.9723819519869,-19.0987215579399
"Watford","2021-2022",23,0.61,19,41380000,17.5383082302817,-18.1818815459022,-14.6493363813842
"West Ham","2020-2021",65,1.71,6,66476000,18.0123515382296,13.2885773648171,-15.2330495680281
"West Ham","2021-2022",56,1.47,7,74556000,18.1270610788338,1.9837532703079,13.2885773648171
"West Ham","2022-2023",40,1.05,14,82420000,18.2273386838749,-13.6704751004247,1.9837532703079
"West Ham","2023-2024",52,1.37,9,95316000,18.3727082454033,-4.44541038591973,-13.6704751004247
"West Ham","2024-2025",43,1.13,14,90220000,18.3177616899445,-10.9403168953416,-4.44541038591973
"West Ham","2025-2026",39,1.03,18,86143200,18.2715215857277,-10.5185693941182,-10.9403168953416
"Wolves","2020-2021",45,1.18,13,51513800,17.7573602909038,-1.15280700402903,11.7316138521979
"Wolves","2021-2022",51,1.34,10,57270000,17.86328748437,2.7338174025059,-1.15280700402903
"Wolves","2022-2023",41,1.08,13,52182000,17.7702481658,-2.7062487778706,2.7338174025059
"Wolves","2023-2024",46,1.21,14,53820000,17.801155703263,2.01400117461963,-2.7062487778706
"Wolves","2024-2025",42,1.11,16,54262000,17.8093347240808,-0.856994979824769,2.01400117461963
"Wolves","2025-2026",20,0.53,20,72358000,18.0971365785295,-25.7171086105931,-0.856994979824769
