"club","season","points","ppg","rank","wage_gbp_annual","ln_wage","efficiency"
"Wolves","2023-2024",46,1.21,14,53820000,17.801155703263,2.01400117461963
"Everton","2023-2024",40,1.05,15,78978000,18.1846798906356,-12.3465349818686
"Brentford","2023-2024",39,1.03,16,39936000,17.5027887307112,1.51817468975182
"Nottingham","2023-2024",32,0.84,17,72050000,18.0928708804098,-18.3451682499745
"Luton Town","2023-2024",26,0.68,18,24570000,17.0170367444974,-0.892800738814841
"Burnley","2023-2024",24,0.63,19,38506000,17.4663246312714,-12.6869356218848
"Sheffield United","2023-2024",16,0.42,20,28756000,17.1743569990859,-14.3222628690812
"Liverpool","2024-2025",84,2.21,1,128804000,18.6738024270529,22.2982653015986
"Arsenal","2024-2025",74,1.95,2,169416000,18.9478677867256,6.32384850019321
"Manchester City","2024-2025",71,1.87,3,201864000,19.1231047612925,-0.496184525253235
"Chelsea","2024-2025",69,1.82,4,172120000,18.9637024659347,0.978664513333964
"Newcastle","2024-2025",66,1.74,5,103272000,18.4528768421687,9.11427535033052
"Aston Villa","2024-2025",66,1.74,6,107536000,18.4933362331919,8.23229133822342
"Nottingham","2024-2025",65,1.71,7,63492000,17.9664244716743,18.7185677674269
"Brighton","2024-2025",61,1.61,8,61958000,17.9419672941024,15.2517156733684
"Bournemouth","2024-2025",56,1.47,9,54704000,17.8174473908612,12.9661550425826
"Brentford","2024-2025",56,1.47,10,41470000,17.5404808322226,19.0038157791848
"Fulham","2024-2025",54,1.42,11,68406000,18.0409710980439,6.09350789994539
"Crystal Palace","2024-2025",53,1.39,12,69810000,18.0612878239466,4.65061869743008
"Everton","2024-2025",48,1.26,13,71422000,18.0841165030989,-0.847029179136142
"West Ham","2024-2025",43,1.13,14,90220000,18.3177616899445,-10.9403168953416
"Manchester Utd","2024-2025",42,1.11,15,180848000,19.0131674574126,-27.0996347526528
"Wolves","2024-2025",42,1.11,16,54262000,17.8093347240808,-0.856994979824769
"Tottenham","2024-2025",38,1,17,104286000,18.4626476827737,-19.0987215579399
"Leicester City","2024-2025",25,0.66,18,65416000,17.996277434824,-21.9322041682392
"Ipswich Town","2024-2025",22,0.58,19,34216000,17.3482039288889,-10.8046936830431
"Southampton","2024-2025",12,0.32,20,56030000,17.8413978195415,-31.5559461221872
"Arsenal","2025-2026",85,2.24,1,189332000,19.059012645739,18.3147232718806
"Manchester City","2025-2026",78,2.05,2,223875600,19.2266010984086,7.66142221790373
"Manchester Utd","2025-2026",71,1.87,3,162331000,18.9051480185588,7.66885534776667
"Aston Villa","2025-2026",65,1.71,4,129537200,18.6794786565402,6.5882761370873
"Liverpool","2025-2026",60,1.58,5,178380800,18.999431149,-5.38644532675009
"Bournemouth","2025-2026",57,1.5,6,62764000,17.9548922186611,14.3837104586907
"Sunderland","2025-2026",54,1.42,7,68016000,18.0352535295807,9.63189488187145
"Brighton","2025-2026",53,1.39,8,60905000,17.9248258311162,11.0391348841649
"Brentford","2025-2026",53,1.39,9,54301000,17.8100532009408,13.5410910995733
"Chelsea","2025-2026",52,1.37,10,156338000,18.8675308880432,-10.5111197616682
"Fulham","2025-2026",52,1.37,11,77519000,18.1660336255668,4.78098806284882
"Newcastle","2025-2026",49,1.29,12,116584000,18.5741226011957,-7.11504183081529
"Everton","2025-2026",49,1.29,13,75379200,18.1380419328523,2.39118571589425
"Leeds United","2025-2026",47,1.24,14,59306000,17.898221039288,5.61909915066719
"Crystal Palace","2025-2026",45,1.18,15,68348800,18.0401345642866,0.525492030412631
"Nottingham","2025-2026",44,1.16,16,92677000,18.3446308875613,-7.11229667776782
"Tottenham","2025-2026",41,1.08,17,132912000,18.705197813061,-17.9723819519869
"West Ham","2025-2026",39,1.03,18,86143200,18.2715215857277,-10.5185693941182
"Burnley","2025-2026",22,0.58,19,55190000,17.8262923354157,-17.8129097050618
"Wolves","2025-2026",20,0.53,20,72358000,18.0971365785295,-25.7171086105931
